,RGC_SO,RGC_S12,RGC_S34,RGC_S56,RGC_SGC,RGC_SAC,E_SO,E_SO_S56,E_SO_S56_SGC,E_S12,E_S12_S34_S56,E_S12_S34_S56_SGC,E_S12_S56,E_S12_S56_SGC,E_S12_SGC,E_S34,E_S34_S56,E_S34_S56_SGC,E_S34_SGC,E_S34_SGC_SAC,E_S56,E_S56_SGC,E_S56_SGC_SAC,E_SGC,E_SAC,E_ns,I_SO,I_SO_S12,I_SO_S12_S56,I_SO_S56,I_SO_S56_SGC,I_S12,I_S12_S34_S56_SGC,I_S12_S34_SGC,I_S12_S56,I_S12_S56_SGC,I_S12_SGC,I_S34,I_S34_S56,I_S34_S56_SGC,I_S34_SGC,I_S34_SGC_SAC,I_S56,I_S56_SGC,I_S56_SGC_SAC,I_S56_SAC,I_SGC,I_SGC_SAC,I_ns,I_SIN,TPN_E,TPN_O
I_S12_S56_SGC,0,0,0,0,0,0,0,0,0.013071895,0.008578431,0,0,0.009931245,0.025210084,0.016806723,0,0.029411765,0,0.005882353,0.029411765,0,0,0,0.011029412,0,0.010957324,0.023529412,0.036764706,0.039215686,0.005882353,0.016339869,0.008403361,0,0,0,0,0.026143791,0,0.003676471,0.013746803,0.000865052,0.058823529,0.005882353,0.011029412,0.029411765,0.019607843,0.00210084,0,0.003513351,0.027573529,0.159960433,0.052751423
I_S12_SGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000957854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_S34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002155172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_S34_S56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_S34_S56_SGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833958,0.001918159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_S34_SGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008874239,0.002595156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_S34_SGC_SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006465517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_S56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_S56_SGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007992098,0.002757353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_S56_SGC_SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009578544,0.001633987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_S56_SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_SGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004926108,0.004201681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_SGC_SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011494253,0.009803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_ns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005913852,0.001304959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I_SIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010237069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPN_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPN_O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
