,RGC_SO,RGC_S12,RGC_S34,RGC_S56,RGC_SGC,RGC_SAC,E_SO,E_SO_S56,E_SO_S56_SGC,E_S12,E_S12_S34_S56,E_S12_S34_S56_SGC,E_S12_S56,E_S12_S56_SGC,E_S12_SGC,E_S34,E_S34_S56,E_S34_S56_SGC,E_S34_SGC,E_S34_SGC_SAC,E_S56,E_S56_SGC,E_S56_SGC_SAC,E_SGC,E_SAC,E_ns,I_SO,I_SO_S12,I_SO_S12_S56,I_SO_S34_S56,I_SO_S56,I_SO_S56_SGC,I_S12,I_S12_S34_S56_SGC,I_S12_S34_SGC,I_S12_S56,I_S12_S56_SGC,I_S12_S56_SGC_SAC,I_S12_SGC,I_S34,I_S34_S56,I_S34_S56_SGC,I_S34_SGC,I_S34_SGC_SAC,I_S56,I_S56_SGC,I_S56_SGC_SAC,I_S56_SAC,I_SGC,I_SGC_SAC,I_ns,I_SIN,TPN_E,TPN_O
E_S12_S34_S56,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0.006578947,0.011904762,0,0,0,0,0.011111111,0,0,0,0,0,0,0.003267974,0,0.041666667,0.055555556,0,0.006666667,0.018518519,0.00952381,0,0,0.004310345,0.004901961,0,0.037037037,0,0,0.007246377,0,0.041666667,0.02,0.012152778,0.018518519,0,0,0,0.005747126,0.03125,0.108370703,0.115591398
E_S12_S34_S56_SGC,0,0,0,0,0,0,0,0,0.037037037,0.013888889,0,0,0.00877193,0,0,0,0,0.041666667,0,0.047619048,0,0,0,0,0,0.013071895,0.033333333,0,0,0,0,0,0.00952381,0,0,0.005747126,0,0,0.074074074,0,0,0.014492754,0,0,0,0.003472222,0.018518519,0,0,0,0.005747126,0.041666667,0.156950673,0.182795699
E_S12_S56,0,0,0,0,0,0,0,0.011961722,0.007309942,0.011513158,0.002192982,0,0,0.016917293,0.013157895,0,0.003759398,0.001644737,0.007017544,0.015037594,0,0.00354251,0,0.006578947,0,0.008513932,0.006578947,0.049342105,0.052631579,0,0.004736842,0.01754386,0.005263158,0,0,0.00873412,0.001547988,0,0.024853801,0,0.002192982,0.007580092,0.001547988,0.055921053,0.012105263,0.007538377,0.013157895,0.01754386,0,0,0.002586207,0.041940789,0.105263158,0.054575552
E_S12_S56_SGC,0,0,0,0,0,0,0,0.038961039,0.015873016,0.011904762,0,0,0.008458647,0.015306122,0.011904762,0,0.030612245,0.008928571,0.004761905,0.040816327,0,0.002747253,0,0,0,0.021008403,0.035714286,0,0.023809524,0,0,0.015873016,0.002040816,0,0,0.009852217,0.006302521,0,0.023809524,0.017857143,0.004464286,0.020962733,0.00210084,0.071428571,0.008571429,0.011160714,0.035714286,0.095238095,0,0,0.002216749,0.03125,0.180653427,0.087834101
E_S12_SGC,0,0,0,0,0,0,0,0.015151515,0,0.020833333,0,0,0.004385965,0.023809524,0.027777778,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004310345,0,0,0,0,0.006944444,0.003623188,0,0,0.013333333,0.012152778,0.018518519,0,0,0,0.003448276,0.041666667,0.086233184,0.075268817
E_S34,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0.013157895,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0.111111111,0,0,0,0.00862069,0,0,0,0,0,0.010869565,0,0.25,0.04,0.020833333,0,0,0,0,0.003448276,0,0.193183857,0.159677419
E_S34_S56,0,0,0,0,0,0,0,0.012987013,0,0,0,0,0.007518797,0.010204082,0,0,0,0,0,0,0,0,0,0.017857143,0,0.008403361,0,0,0,0,0,0,0,0,0,0.004926108,0.004201681,0,0.015873016,0,0,0.00621118,0,0.035714286,0.005714286,0.007440476,0.015873016,0,0,0,0.001970443,0.035714286,0.106982703,0.115207373
E_S34_S56_SGC,0,0,0,0,0,0,0,0.022727273,0.041666667,0,0,0,0.011513158,0.026785714,0.020833333,0,0.017857143,0,0.008333333,0,0,0.004807692,0,0.015625,0,0.026960784,0.025,0,0.083333333,0,0,0.013888889,0.007142857,0,0,0.007543103,0.003676471,0,0.027777778,0,0.010416667,0.016304348,0,0.0625,0.02,0.013020833,0.020833333,0,0,0,0.003017241,0.0078125,0.144058296,0.155241935
E_S34_SGC,0,0,0,0,0,0,0,0.018181818,0.02962963,0,0,0,0.007017544,0.023809524,0.022222222,0,0.028571429,0,0.008888889,0.028571429,0,0.005128205,0,0.016666667,0,0.022222222,0.013333333,0.066666667,0.066666667,0,0.010666667,0.007407407,0.013333333,0,0,0.011494253,0,0,0.037037037,0,0.005555556,0.014492754,0.001960784,0.066666667,0.013333333,0.013194444,0.025925926,0.022222222,0.004761905,0,0.003448276,0.029166667,0.145590433,0.167741935
E_S34_SGC_SAC,0,0,0,0,0,0,0,0.012987013,0,0,0,0,0.018796992,0.030612245,0.047619048,0,0,0,0.00952381,0.020408163,0,0.005494505,0,0,0,0.033613445,0.014285714,0.035714286,0.095238095,0,0.005714286,0.031746032,0.004081633,0,0,0.00862069,0.004201681,0,0.015873016,0,0.008928571,0.02484472,0.004201681,0.142857143,0.011428571,0.017857143,0.03968254,0.047619048,0,0,0.00591133,0.008928571,0.187059577,0.16359447
E_S56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857143,0,0,0,0,0,0.107142857,0,0,0,0.03125,0,0.004901961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005434783,0,0.0625,0,0.0078125,0,0,0,0,0.004310345,0.03125,0.134529148,0.149193548
E_S56_SGC,0,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0.010989011,0,0,0.005494505,0.004807692,0.01025641,0.016483516,0,0.00295858,0,0.019230769,0,0.015082956,0.011538462,0.057692308,0.025641026,0,0.004615385,0.004273504,0.014285714,0,0,0,0.001131222,0,0,0,0.005608974,0.011705686,0.004524887,0.028846154,0.004615385,0.010817308,0.014957265,0,0,0,0.003713528,0.028846154,0.153139013,0.094540943
E_S56_SGC_SAC,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0.028571429,0,0,0,0,0,0.057142857,0,0,0,0.025,0,0.003921569,0.04,0.05,0,0,0,0.022222222,0,0,0,0,0.005882353,0,0,0,0.004166667,0.019565217,0,0,0,0.008333333,0.033333333,0,0,0,0.003448276,0.0125,0.10044843,0.103225806
E_SGC,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0.017857143,0,0,0.089285714,0,0.025,0.035714286,0,0,0,0.03125,0,0.022058824,0.0375,0.09375,0,0,0,0.041666667,0.010714286,0,0,0,0.011029412,0,0,0,0,0.028532609,0,0.09375,0,0.024739583,0.083333333,0.125,0.008928571,0,0.004310345,0.0078125,0.255605381,0.25
E_SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031390135,0
E_ns,0,0,0,0,0,0,0,0.007130125,0.019607843,0.008986928,0.003267974,0,0.007223942,0.021008403,0.009803922,0,0.005602241,0,0.007843137,0.011204482,0,0.001508296,0,0.00245098,0,0.011149558,0.007843137,0.014705882,0.052287582,0,0.001568627,0.006535948,0.004481793,0,0,0.005747126,0.002306805,0,0.013071895,0,0.004493464,0.00831202,0.002883506,0.073529412,0.00627451,0.008986928,0.019607843,0.013071895,0.00140056,0.006535948,0.002974983,0.033088235,0.095928955,0.117963314
I_SO,0,0,0,0,0,0,0,0.009090909,0,0.008333333,0,0,0.003947368,0,0,0,0,0,0,0,0,0,0,0,0,0.003921569,0.01,0,0,0,0.004,0.011111111,0.008571429,0,0,0.006896552,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.066860987,0.106451613
I_SO_S12,0,0,0,0,0,0,0,0,0,0,0,0,0.003289474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0.002155172,0,0,0,0,0,0.002717391,0,0,0,0,0,0,0,0,0.000862069,0.109375,0.061479821,0.096774194
